,species_name,phylo_level,parent,F12246,F12247,F12248,F12249,F12250,F12252,F12253,F12254,F12255,F12257,F12260,F12261,F12262,F12263,F12265,F12266,F12268,F12269,F12270,F12271,F12272,F12273,F12276,F12277,F12278,F12279,F12280,F12281,F12284,F12285,F12286,F12287,F12289,F12292,F12293,F12294,F12295,F12296,F12300,F12301,F12303,F12304,F12307,F12308,F12310,F12311,F12312,F12315,F12316,F12317,F12318,F12320,F12321,F12323,F12324,F12326,F12327,F12328,F12329,F12331,F12332,F12333,F12339
40214,Acinetobacter johnsonii,S,469,,,,4304.0,,4083.0,4057.0,4774.0,3029.0,3171.0,,,,8528.0,,1834.0,,4762.0,1447.0,239115.0,1307.0,,,8109.0,13963.0,,2444.0,3553.0,2184.0,19335.0,2593.0,2650.0,15894.0,27325.0,11799.0,4412.0,13387.0,4108.0,3409.0,,6229.0,2648.0,4313.0,,3605.0,5637.0,4839.0,,4586.0,7774.0,4204.0,4207.0,3650.0,5061.0,14967.0,,4087.0,5466.0,4380.0,,66016.0,8052.0,5090.0
28090,Acinetobacter lwoffii,S,469,2274.0,1704.0,3541.0,4288.0,,3985.0,4266.0,5361.0,,3492.0,4606.0,3835.0,2233.0,8364.0,3910.0,1950.0,,4988.0,,191994.0,1300.0,2381.0,,8145.0,16463.0,2418.0,,3873.0,2472.0,20074.0,2754.0,2889.0,17138.0,27983.0,12621.0,4218.0,12863.0,3990.0,3261.0,3444.0,5804.0,3054.0,4729.0,,4114.0,5502.0,5210.0,4199.0,4999.0,7180.0,4637.0,4474.0,3388.0,5103.0,15928.0,2628.0,4310.0,5984.0,4562.0,,61475.0,7937.0,5457.0
470,Acinetobacter baumannii,S,909768,2438.0,1408.0,3476.0,4434.0,2374.0,3831.0,4992.0,5165.0,3518.0,3398.0,4893.0,4066.0,2319.0,,3955.0,2399.0,3060.0,5375.0,1890.0,182102.0,2939.0,2627.0,3091.0,8482.0,,2448.0,2784.0,3502.0,2333.0,18257.0,3108.0,2647.0,15144.0,25701.0,11888.0,4341.0,13570.0,4551.0,3912.0,3592.0,6144.0,3605.0,4589.0,3308.0,4460.0,6194.0,4994.0,4204.0,4385.0,8296.0,4345.0,4408.0,3655.0,5512.0,14377.0,3104.0,4883.0,5511.0,,1658.0,61445.0,,6352.0
2057741,Bradyrhizobium sp. SK17,S,2631580,2576.0,1757.0,3105.0,2929.0,2889.0,4884.0,4807.0,5521.0,4083.0,7670.0,1759.0,4169.0,2207.0,2336.0,6589.0,5049.0,2578.0,7085.0,2253.0,48009.0,5670.0,3162.0,4304.0,6105.0,49698.0,4393.0,3241.0,6069.0,2673.0,30751.0,2518.0,7559.0,8572.0,42294.0,12196.0,6681.0,6350.0,5820.0,3396.0,4725.0,10828.0,6904.0,10825.0,2334.0,8780.0,7450.0,10220.0,4587.0,9679.0,8194.0,7862.0,11473.0,5421.0,3843.0,35035.0,2872.0,5291.0,6478.0,3703.0,3002.0,10791.0,4551.0,6462.0
40324,Stenotrophomonas maltophilia,S,995085,3215.0,2556.0,3903.0,3801.0,5314.0,4185.0,6835.0,5948.0,5936.0,7383.0,4410.0,4919.0,2693.0,3331.0,7424.0,3314.0,2359.0,5024.0,1959.0,48834.0,5943.0,3736.0,4191.0,6413.0,43887.0,2650.0,2795.0,5147.0,2890.0,43589.0,5044.0,6364.0,9903.0,46041.0,16653.0,5783.0,6375.0,2885.0,2966.0,4230.0,6184.0,4591.0,9451.0,1792.0,7230.0,4433.0,5864.0,4185.0,9531.0,6032.0,8020.0,10249.0,6995.0,2661.0,25868.0,2283.0,2839.0,5960.0,3897.0,1975.0,11687.0,6999.0,5809.0
29385,Staphylococcus saprophyticus,S,1279,,,,,,,,,,,24162.0,,,,,,,,,,,,,,,,,,,,,,,,,22870.0,,,21024.0,,27939.0,,,,,28268.0,,23115.0,,44608.0,23545.0,,,18449.0,58666.0,18486.0,,28414.0,,,94723.0,34223.0,
2500532,Paracoccus sp. Arc7-R13,S,246570,575.0,,13556.0,11600.0,1449.0,2734.0,3655.0,2544.0,1873.0,3606.0,1788.0,2070.0,1465.0,2123.0,1034.0,508.0,1081.0,3794.0,1977.0,96618.0,1668.0,1935.0,6135.0,2603.0,12253.0,1340.0,972.0,1663.0,1172.0,19010.0,2227.0,3941.0,12065.0,15002.0,15217.0,3438.0,2810.0,2154.0,1969.0,2233.0,4985.0,2932.0,4130.0,19427.0,3094.0,5448.0,4434.0,2403.0,4496.0,4701.0,3654.0,5009.0,3296.0,2039.0,14830.0,1882.0,46413.0,3931.0,2325.0,1459.0,25317.0,21879.0,3506.0
1308,Streptococcus thermophilus,S,1301,,1679.0,1007.0,,627.0,,24920.0,,,410.0,,,,,,,431.0,35468.0,791.0,7692.0,1417.0,,,64572.0,3986.0,,,,,132670.0,,,25863.0,4284.0,8597.0,,,3451.0,,,4790.0,2944.0,,2620.0,,,,2578.0,3048.0,12953.0,,5370.0,,,13174.0,1463.0,4531.0,,,,37770.0,5514.0,4763.0
527030,Bacillus thuringiensis serovar huazhongensis BGSC 4BD1,S2,180854,5698.0,5370.0,4089.0,4085.0,10654.0,5007.0,8900.0,5189.0,4672.0,8334.0,6905.0,6529.0,3451.0,4411.0,6798.0,6138.0,6407.0,6469.0,5256.0,1641.0,9402.0,5838.0,8697.0,4309.0,2330.0,4484.0,4313.0,3258.0,5179.0,4042.0,6991.0,6394.0,10654.0,2063.0,5154.0,6035.0,6213.0,7315.0,6098.0,7588.0,5211.0,9742.0,10142.0,9956.0,12245.0,9673.0,6957.0,11353.0,9671.0,7458.0,5234.0,3460.0,7146.0,4702.0,987.0,3583.0,7204.0,6306.0,1786.0,5246.0,10754.0,9231.0,11647.0
2025492,Staphylococcus sp. M0911,S,91994,,,,,,,,,,,,,,20902.0,,,,30504.0,,84956.0,,,,,,,,,,72004.0,,,,,,,24942.0,,,,27827.0,,,,,,,,,,,,,,58111.0,,,,,,81623.0,,
1415630,Pseudomonas sp. TKP,S,2583993,2442.0,,,,3723.0,7848.0,6384.0,3416.0,,,2743.0,9834.0,2759.0,2248.0,,1479.0,,5498.0,2581.0,76751.0,4389.0,2766.0,2247.0,14564.0,26060.0,,,5729.0,3160.0,28819.0,,,25915.0,30504.0,14791.0,4064.0,,,3330.0,,4051.0,6795.0,,,5430.0,5691.0,5747.0,,6494.0,4653.0,4339.0,5046.0,3007.0,,17460.0,3322.0,2250.0,3678.0,3464.0,,8664.0,3695.0,4688.0
45972,Staphylococcus pasteuri,S,1279,,,,,,29222.0,,,,,,,,,,,,30538.0,,85005.0,,,,33498.0,,,,,,73205.0,,,,,,,,,,,,,,,,,,22861.0,,,,,,,,,,,25268.0,,80809.0,,
526973,Bacillus cereus m1293,S1,1396,1808.0,827.0,2348.0,1535.0,1357.0,1424.0,2387.0,967.0,2251.0,1617.0,1358.0,996.0,816.0,904.0,3921.0,1296.0,833.0,3484.0,1901.0,10664.0,1379.0,1475.0,1240.0,2729.0,22649.0,4013.0,1389.0,1755.0,1435.0,8392.0,1325.0,1318.0,38657.0,59130.0,32308.0,4699.0,10632.0,4344.0,3288.0,5221.0,5503.0,5296.0,3730.0,2581.0,5057.0,3787.0,4817.0,3125.0,4823.0,6242.0,4727.0,6925.0,3783.0,4873.0,10864.0,2659.0,4751.0,4468.0,2792.0,2922.0,25861.0,4697.0,5181.0
28037,Streptococcus mitis,S,1301,,,,,,,,,,,,,,,,,,35335.0,,6855.0,,,,62795.0,,,,,,130983.0,,,26080.0,,8709.0,4613.0,4192.0,,,2309.0,,,,,4742.0,3732.0,,,,8747.0,,5405.0,,,12658.0,,4453.0,3672.0,,1243.0,36613.0,,4303.0
1114967,Cutibacterium acnes TypeIA2 P.acn17,S2,1734925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35214.0,,,,31928.0,31799.0,36552.0,,,,29359.0,,,,93155.0,,26668.0,,,17950.0,,27190.0,34987.0
28035,Staphylococcus lugdunensis,S,1279,,,,,,,,,,,,,,,29957.0,,,30546.0,,84514.0,,22430.0,,,,,,,,71983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28414.0,,,80697.0,,
1879049,Acinetobacter sp. WCHAc010034,S,196816,,,3369.0,4070.0,,,3974.0,,,,,,,8268.0,,,,,1401.0,181083.0,,,2151.0,7881.0,,,,,,18180.0,,,,25696.0,11557.0,,,,,,5474.0,,,,,,,,,,,,,4906.0,,,,,,,61131.0,,
1285583,Corynebacterium casei LMG S-19264,S1,160386,,,,,,3092.0,,,,,,,,,,,,,,3206.0,,,,,,,,,,6997.0,,,24493.0,,10117.0,2595.0,4153.0,3019.0,2781.0,3119.0,5011.0,,3535.0,6434.0,,2537.0,3467.0,,,34361.0,,,3635.0,,9707.0,,5865.0,,4026.0,,174800.0,4223.0,2939.0
1636603,Acinetobacter sp. ACNIH1,S,196816,,,,,,,,,,,,,,,,,,,,180214.0,,,,,,,,,,,,,,25557.0,,,12901.0,,,,,2817.0,4166.0,,,,,,,,3978.0,,,4900.0,13939.0,,,5059.0,,,60741.0,7878.0,
108980,Acinetobacter ursingii,S,469,,,,,,4277.0,,,,3281.0,,,,,,,,,,180452.0,,,,,,,,,,18112.0,,,,,11636.0,,,,,,,2765.0,,,,,,3157.0,,7004.0,,4169.0,,,13893.0,,,,,,61857.0,7858.0,
170573,Staphylococcus pettenkoferi,S,1279,,,,,,,,,,,,,,20929.0,,,,30495.0,,,,,,,,,,,,72078.0,,,36283.0,,,,,,,,,,27533.0,,,,31783.0,,,,,,,,,,,,,,89046.0,,
712633,Streptococcus sp. oral taxon 431,S,2608887,,,,2676.0,,,25108.0,,,,,,,,,,,35401.0,,,,,,63044.0,,,,,,131725.0,,,25934.0,,,,,,,,,,,,,,,,,,,,,,12525.0,,,,,,,,4201.0
645127,Corynebacterium kroppenstedtii DSM 44385,S1,161879,,,,2644.0,894.0,1311.0,2688.0,,,,,1438.0,,,1134.0,,,2998.0,,2525.0,,,,5570.0,2902.0,,336.0,1088.0,,13391.0,,933.0,26527.0,5062.0,10244.0,,4363.0,3377.0,,,,3531.0,3566.0,5446.0,3001.0,,3481.0,1725.0,4929.0,8419.0,,,,3416.0,9405.0,,6135.0,,3866.0,1385.0,139978.0,4324.0,2930.0
2079596,Acinetobacter sp. SWBY1,S,196816,,,,,2220.0,,,,,,,,,8278.0,,,,,,180725.0,,,,,13240.0,,,,,18172.0,,,,26064.0,11580.0,,,,,,,,,,,5470.0,,,,,,,,5028.0,13989.0,,4152.0,,,,,,
108981,Acinetobacter schindleri,S,469,,,,,,,,,,,,,,,,,,,,180236.0,,,,,,,,,,18124.0,,,,,,,,,,,,,,2054.0,3707.0,,4621.0,,4445.0,,3965.0,,,4915.0,,,,5085.0,,,60571.0,,
43990,Corynebacterium segmentosum,S,1716,,,1369.0,,,1149.0,,,,,,,,,,,,,,2673.0,,,,2231.0,,,,,,7757.0,,,27041.0,,11081.0,2659.0,4341.0,3364.0,2825.0,3317.0,4746.0,3597.0,3705.0,,3098.0,2703.0,3576.0,,4887.0,8229.0,2363.0,4445.0,3688.0,3438.0,9351.0,1838.0,5431.0,3906.0,4051.0,,137617.0,4290.0,2849.0
1305,Streptococcus sanguinis,S,1301,,,,,,,24776.0,,,,,,,,,,,35706.0,,,,,,62868.0,,,,,,132186.0,,,,,8627.0,,,,,,,,,,,,,2492.0,2945.0,8786.0,,,3253.0,,,,,,,,,,
1338,Streptococcus intermedius,S,671232,,,,,,,24778.0,,,,,13088.0,,,,,,35105.0,,,,,,62590.0,,,,,,132388.0,,,,,8696.0,,4210.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2004646,Acinetobacter sp. WCHA55,S,196816,,,,,,,,,,,,,,,,,2438.0,,,186406.0,,,,,,,,,,,,,15053.0,,,,,,,,,,,,,,,,,,,,,,13865.0,,,,,,60881.0,,
1302,Streptococcus gordonii,S,1301,,,,,,,24737.0,,,,,,,,,,,35119.0,,,,,,62975.0,,,,,,132448.0,,,,,,4508.0,,,,,,,,,,,2948.0,2534.0,,8695.0,,,,,,,,,,,,,
1274359,Pseudomonas sihuiensis,S,286,,,,3997.0,,,,,,,,,,,,,,5290.0,,75536.0,4475.0,,,,25243.0,,2340.0,,,27468.0,4953.0,3665.0,26017.0,28721.0,14792.0,,,,,,,,5162.0,,5273.0,5359.0,5747.0,3157.0,6076.0,,,,2737.0,,16159.0,,,,,,,,
1316408,Streptococcus sp. HSISM1,S,2608887,,,,,,,25047.0,,,,,,,,,,,,,,,,,63289.0,,,,,,132486.0,,,,,,,,,,,,,,,,,,,,8745.0,,,,,,,,,,,37072.0,,
1046625,Acinetobacter lwoffii WJ10621,S1,28090,,,,,,,,,,,,,,,,,,,,193554.0,,,,,,,,,,,2993.0,,,,,,,,,,,,,,,,,,,7306.0,,,,,,,,,,,61793.0,,
1879050,Acinetobacter wuhouensis,S,469,,,,,,,,,,3229.0,,,,,,,,,,180316.0,,2312.0,,,,,,,,,,,,,,,,3805.0,,,,,,,,,,,,,,,,,13856.0,,,,,,60515.0,,
34062,Moraxella osloensis,S,475,615.0,,1369.0,513.0,363.0,2033.0,953.0,539.0,343.0,388.0,626.0,435.0,,,752.0,384.0,,935.0,,134992.0,145.0,1553.0,663.0,2155.0,2616.0,297.0,423.0,455.0,,5287.0,,331.0,8987.0,3723.0,5739.0,3456.0,4076.0,2171.0,584.0,921.0,3969.0,2189.0,3122.0,1473.0,2404.0,3969.0,3899.0,2893.0,948.0,897.0,3031.0,4258.0,2127.0,2469.0,9228.0,1154.0,2117.0,3488.0,2132.0,1404.0,10692.0,3626.0,2445.0
1318,Streptococcus parasanguinis,S,1301,,,,,,,24830.0,,,,,,,,,,,35165.0,,,,,,62405.0,,,,,,130771.0,,,,,,,,,,,,,,,,,,,,8686.0,,,,,,,,,,,,,
671223,Propionibacterium sp. oral taxon 193,S,2608905,,,,,,,,,,,,,543.0,,1452.0,,,,1735.0,,,,,,6366.0,,,,,53565.0,,,,,24003.0,13226.0,,,,12958.0,,12270.0,13197.0,,,,14313.0,10372.0,14566.0,,12449.0,16430.0,,,30569.0,9909.0,,12713.0,,,,,
40215,Acinetobacter junii,S,469,,,,,,,4051.0,,,,,,,,,,,,,180412.0,,,2190.0,,,,,,,18118.0,,,15019.0,,,,,3804.0,3157.0,,,,,,,5445.0,,,4376.0,,3962.0,,,,14151.0,,,,,,,,
